CC,Year,EPS,WIP,Block,GDPpc,Education
DEU,2007,2.7777777,31.647635,0,36863.113348,22.62182
DEU,2008,3.0277777,32.18954,0,38432.448211,23.916872
DEU,2009,3.1388888,32.79743,0,37465.456323,25.655298
DEU,2010,3.0833333,32.79743,0,39675.00238,26.133959
DEU,2011,3.1666667,32.903225,0,42541.513126,27.67141
DEU,2012,3.0555556,32.903225,0,43359.541048,28.956329
DEU,2013,3.2222223,36.45008,0,44993.667838,29.995255
DEU,2014,3.1111112,36.45008,0,47011.280402,28.422802
DEU,2015,3.0277777,36.45008,0,47609.557159,29.588667
DEU,2016,3.0833333,36.45008,0,50579.483717,30.527618
DEU,2017,3.0277777,30.747532,0,53071.478374,31.308737
DEU,2018,3.25,30.747532,0,55195.722049,32.281734
DEU,2019,3.3055556,30.888575,0,57411.520685,33.260235
DEU,2020,3.4722223,31.170664,0,56454.181109,34.876732
DNK,2000,2.0,37.43017,0,28672.330304,29.295521
DNK,2001,2.0,37.988827,0,29452.760705,31.066076
DNK,2002,1.888889,37.988827,0,30639.953691,32.359928
DNK,2003,2.6388888,37.988827,0,30825.225589,35.009655
DNK,2004,2.8055556,37.988827,0,32948.16657,37.593121
DNK,2005,3.0277777,36.87151,0,34152.881663,39.83181
DNK,2006,3.1388888,36.87151,0,37333.84624,40.808071
DNK,2007,3.1388888,37.988827,0,39021.411928,36.185223
DNK,2008,3.1944444,37.988827,0,41282.995471,36.165295
DNK,2009,3.4166667,37.988827,0,40332.516629,37.435608
DNK,2010,4.0833335,37.988827,0,43006.150516,37.608952
DNK,2011,4.2222223,39.106144,0,44407.94207,38.600784
DNK,2012,3.8888888,39.106144,0,44808.549212,40.192459
DNK,2013,4.0555553,39.106144,0,46742.939663,40.929459
DNK,2014,4.1111112,39.106144,0,47905.477079,42.130608
DNK,2015,4.0277777,37.43017,0,49058.142344,43.043034
DNK,2016,3.9444444,37.43017,0,51967.020438,44.594067
DNK,2017,4.0277777,37.43017,0,55356.49009,45.537395
DNK,2018,3.7777777,37.43017,0,57479.350221,45.83231
DNK,2019,3.6666667,39.106144,0,59884.11738,47.097672
DNK,2020,3.7222223,39.664806,0,60768.060489,42.575157
ESP,2000,1.4722222,28.285715,0,21595.594901,33.978283
ESP,2001,1.4722222,28.285715,0,23001.078439,35.42757
ESP,2002,1.4722222,28.285715,0,24376.32871,37.484509
ESP,2003,1.4722222,28.285715,0,25042.28983,37.90205
ESP,2004,2.2222223,36.0,0,26182.039287,38.99802
ESP,2005,2.3611112,36.0,0,27600.937175,40.703537
ESP,2006,2.3888888,36.0,0,30743.713954,40.32674
ESP,2007,2.4722223,36.57143,0,32467.040986,40.025246
ESP,2008,2.5555556,36.285713,0,33242.245427,40.047447
ESP,2009,2.6666667,36.57143,0,32089.527557,39.458729
ESP,2010,2.6111112,36.57143,0,31690.887692,40.312317
ESP,2011,2.8333333,36.0,0,31872.363088,40.311493
ESP,2012,2.8055556,36.0,0,31724.785352,40.386406
ESP,2013,2.2222223,36.0,0,32463.123679,41.089592
ESP,2014,2.3888888,39.714287,0,33558.976673,41.477402
ESP,2015,2.3888888,41.142857,0,34945.481614,40.959778
ESP,2016,2.2777777,39.142857,0,37333.06491,40.980919
ESP,2017,2.2777777,39.142857,0,39601.479631,42.644691
ESP,2018,2.4444444,39.142857,0,40776.768298,44.259609
ESP,2019,2.4444444,44.0,0,43135.741954,46.508266
ESP,2020,2.5,44.0,0,38030.728528,47.379524
FIN,2000,2.0833333,36.5,0,26789.925656,38.671585
FIN,2001,2.0833333,36.5,0,27801.065401,37.934616
FIN,2002,2.5833333,36.5,0,28605.122922,37.934616
FIN,2003,2.4166667,37.5,0,29053.042068,37.934616
FIN,2004,2.6388888,37.5,0,31201.7603,38.172512
FIN,2005,2.75,37.5,0,32051.762889,37.541725
FIN,2006,2.9722223,38.0,0,34452.676186,38.451385
FIN,2007,2.9722223,41.5,0,37843.270084,39.297249
FIN,2008,3.1944444,41.5,0,40083.701943,38.289055
FIN,2009,3.1666667,40.0,0,37972.457701,39.388084
FIN,2010,3.1111112,40.0,0,38954.131777,39.207012
FIN,2011,3.75,42.5,0,40916.647325,39.377258
FIN,2012,3.6388888,42.5,0,40872.854802,39.749657
FIN,2013,3.6388888,42.5,0,41492.918416,39.992779
FIN,2014,3.6944444,42.5,0,41749.864733,40.308151
FIN,2015,3.8611112,41.5,0,42490.211049,40.524899
FIN,2016,3.8333333,41.5,0,44934.488245,41.13372
FIN,2017,3.8333333,42.0,0,47570.270354,41.253643
FIN,2018,3.9166667,42.0,0,49573.255773,41.313869
FIN,2019,3.8055556,47.0,0,51811.599332,41.820766
FIN,2020,4.1111112,46.0,0,52294.342491,44.665718
FRA,2000,1.75,10.918544,0,26099.7352,31.375711
FRA,2001,1.6666666,10.918544,0,27499.541566,34.232525
FRA,2002,2.0,12.131716,0,28528.156107,36.053307
FRA,2003,2.0833333,12.195122,0,28178.57676,37.855179
FRA,2004,2.8333333,12.195122,0,29065.215266,38.220337
FRA,2005,2.8611112,12.195122,0,30504.058784,39.776222
FRA,2006,3.0833333,12.195122,0,32472.263308,41.416058
FRA,2007,3.25,18.197573,0,34132.697684,41.444328
FRA,2008,3.4166667,18.197573,0,35102.870428,40.825264
FRA,2009,3.6944444,18.890814,0,34686.479663,43.149895
FRA,2010,3.6111112,18.890814,0,35910.195851,42.87175
FRA,2011,3.9444444,18.890814,0,37447.949543,42.988277
FRA,2012,3.9166667,26.863085,0,37684.198067,42.909988
FRA,2013,3.9166667,26.863085,0,39528.473644,44.055721
FRA,2014,4.2222223,26.169844,0,40144.059485,44.726288
FRA,2015,4.0277777,26.169844,0,40829.893311,44.687599
FRA,2016,3.9166667,26.169844,0,42855.944562,44.036968
FRA,2017,4.1666665,38.9948,0,44444.934559,44.34428
FRA,2018,4.5555553,39.583332,0,46336.933985,46.937691
FRA,2019,4.7222223,39.68804,0,50226.680167,48.052528
FRA,2020,4.8888888,39.514732,0,47982.359606,49.449242
GBR,2000,1.3333334,18.361153,0,26534.517918,28.901674
GBR,2001,1.3333334,17.905918,0,27915.785918,30.066694
GBR,2002,1.3333334,17.905918,0,29091.26654,31.410488
GBR,2003,2.1388888,17.905918,0,30322.775119,33.321693
GBR,2004,2.1388888,18.057663,0,32075.022998,34.897144
GBR,2005,2.3055556,19.659443,0,32719.743558,35.345379
GBR,2006,2.4166667,19.659443,0,34744.126142,41.8297
GBR,2007,2.25,19.504644,0,35521.72105,43.08427
GBR,2008,2.4722223,19.504644,0,36734.676772,43.337868
GBR,2009,2.6666667,19.504644,0,35033.288916,45.283749
GBR,2010,3.3611112,22.0,0,36495.793496,46.046906
GBR,2011,3.3333333,22.307692,0,37208.971903,46.910782
GBR,2012,2.8888888,22.461538,0,38340.215681,47.860847
GBR,2013,3.2222223,22.461538,0,39968.102283,48.31358
GBR,2014,3.75,22.615385,0,41281.542063,49.185982
GBR,2015,3.8611112,29.384615,0,42500.909156,49.943413
GBR,2016,3.3611112,29.583975,0,44057.689096,51.775383
GBR,2017,3.4722223,32.0,0,46061.354379,51.624851
GBR,2018,3.5277777,32.153847,0,47107.7092,50.752552
GBR,2019,3.5277777,32.0,0,49220.202708,51.809521
GBR,2020,3.6111112,33.846153,0,45756.801675,55.833538
GRC,2000,1.3888888,8.666667,0,19519.978023,23.921938
GRC,2001,1.3888888,8.666667,0,20958.780315,23.480356
GRC,2002,1.3888888,8.666667,0,22615.957435,23.705975
GRC,2003,1.4722222,8.666667,0,23897.755346,23.732121
GRC,2004,1.4166666,14.0,0,25460.561383,25.493637
GRC,2005,1.7777778,13.0,0,25577.445437,25.663805
GRC,2006,1.8888888,13.0,0,28547.218881,27.022612
GRC,2007,1.9722222,14.666667,0,29323.909492,28.066544
GRC,2008,2.25,14.666667,0,30855.935774,28.454678
GRC,2009,2.4444444,17.333334,0,30359.446595,29.599367
GRC,2010,2.6111112,17.333334,0,27911.57449,31.15996
GRC,2011,2.75,18.666666,0,25671.409119,32.736923
GRC,2012,2.6388888,21.0,0,24911.130276,34.977001
GRC,2013,2.5833333,21.0,0,25986.640698,37.168961
GRC,2014,2.8888888,21.0,0,26625.159298,38.66687
GRC,2015,3.0555556,19.666666,0,26760.280798,40.063866
GRC,2016,2.8888888,19.666666,0,27511.803202,40.979172
GRC,2017,2.8611112,18.333334,0,28604.829152,42.479965
GRC,2018,2.8611112,18.666666,0,29617.518625,42.821678
GRC,2019,2.8333333,20.666666,0,31155.301081,42.406635
GRC,2020,2.8888888,21.666666,0,28349.491127,43.685429
HUN,2000,1.2222222,8.290155,1,11855.464682,14.693064
HUN,2001,1.4722222,8.290155,1,13210.457753,14.780178
HUN,2002,1.6111112,9.067357,1,14526.388251,14.986973
HUN,2003,2.3611112,9.84456,1,15479.026769,16.786734
HUN,2004,2.2222223,9.090909,1,16268.938786,18.881723
HUN,2005,2.8333333,9.090909,1,17108.340595,19.573023
HUN,2006,2.9722223,10.362695,1,18382.558594,20.717684
HUN,2007,2.7777777,11.139896,1,19096.705486,21.989632
HUN,2008,3.0555556,11.139896,1,20721.502411,23.960701
HUN,2009,3.6388888,11.139896,1,20722.886939,25.0688
HUN,2010,3.5277777,9.067357,1,21741.545922,26.019491
HUN,2011,3.6666667,8.8082905,1,23029.447178,28.107714
HUN,2012,3.5555556,8.8082905,1,23267.448393,30.430923
HUN,2013,2.8888888,8.8082905,1,24547.980456,30.876373
HUN,2014,2.8888888,10.050251,1,25691.527335,32.109055
HUN,2015,2.9722223,10.10101,1,26798.854228,32.12635
HUN,2016,2.6944444,10.10101,1,27941.926751,30.400248
HUN,2017,3.1111112,10.050251,1,29496.163748,30.162258
HUN,2018,2.6944444,12.562814,1,31908.863431,30.576908
HUN,2019,2.75,12.562814,1,34645.565383,30.589085
HUN,2020,2.8055556,12.060302,1,34169.922355,30.688835
IRL,2000,1.2222222,12.048193,0,30218.776099,29.803612
IRL,2001,1.1666666,12.048193,0,32594.17983,33.406429
IRL,2002,1.2222222,13.253012,0,35222.81925,35.213902
IRL,2003,1.9722222,13.253012,0,36280.535976,37.062382
IRL,2004,2.0277777,13.253012,0,38761.427777,39.63393
IRL,2005,2.0833333,13.253012,0,40465.316509,40.673939
IRL,2006,2.4444444,13.253012,0,44268.552868,42.462822
